case_name,nx,nz,nodes,elements,element_size_x_mm,mean_abs_u3_mm,max_abs_u_mm,analytical_tip_displacement_mm,error_vs_analytical_percent,error_vs_finest_percent
cantilever_shell_nx005_nz005,5,5,36,25,200.0,2.76567,2.765985229742968,2.816901408450704,-1.8187149999999905,-2.3590206352081067
cantilever_shell_nx010_nz005,10,5,66,50,100.0,2.808822,2.8091356005955976,2.816901408450704,-0.2868189999999875,-0.8355548777064857
cantilever_shell_nx020_nz005,20,5,126,100,50.0,2.824509,2.8248226005967187,2.816901408450704,0.27006950000000485,-0.2817310146658955
cantilever_shell_nx040_nz005,40,5,246,200,25.0,2.830381,2.8306950191933895,2.816901408450704,0.4785255000000084,-0.0744221778089792
cantilever_shell_nx080_nz005,80,5,486,400,12.5,2.832489,2.832803520162279,2.816901408450704,0.5533595000000004,0.0
