?-tech [MPa]	?-technisch [%]
493.0463	14.665
493.0463	14.6825
493.0516	14.7017
493.0331	14.7202
493.0279	14.738
493.0239	14.7562
493.0239	14.7745
493.0147	14.7927
493.0279	14.8105
493.0331	14.8292
493.0424	14.8482
493.0516	14.8665
493.0279	14.8845
493.0371	14.9032
493.0239	14.9212
493.0279	14.939
493.0108	14.9567
493.02	14.9757
493.0147	14.9942
493.0016	15.0125
493.0016	15.0312
493.0016	15.05
493.0108	15.0687
493.0108	15.087
493.0331	15.105
493.02	15.124
493.0108	15.143
493.0016	15.161
492.9884	15.179
492.9884	15.1977
492.97	15.216
492.97	15.2342
492.974	15.2522
492.9832	15.2712
492.97	15.2905
492.9924	15.3087
492.9884	15.3277
492.9832	15.3467
492.97	15.3647
492.9661	15.3832
492.9424	15.403
492.9424	15.4212
492.9385	15.44
492.9293	15.458
492.9161	15.4765
492.9161	15.496
492.9201	15.5142
492.9201	15.5327
492.9201	15.5517
492.9385	15.571
492.9345	15.59
492.9293	15.6087
492.903	15.6277
492.8977	15.646
492.8793	15.6645
492.8793	15.6827
492.8661	15.7022
492.8622	15.7207
492.8661	15.738
492.8622	15.7567
492.8661	15.7765
492.853	15.796
492.8569	15.815
492.853	15.834
492.853	15.8527
492.8346	15.8717
492.8306	15.891
492.8214	15.91
492.8083	15.929
492.7938	15.948
492.7767	15.9672
492.7715	15.9865
492.7675	16.0045
492.7491	16.0235
492.7544	16.0422
492.7623	16.0615
492.7623	16.0812
492.7544	16.101
492.7675	16.1197
492.7452	16.1372
492.7307	16.1567
492.7136	16.1762
492.7136	16.1962
492.682	16.215
492.6768	16.2335
492.6676	16.253
492.6636	16.2727
492.6597	16.2922
492.6676	16.311
492.6768	16.3307
492.6676	16.35
492.6636	16.3695
492.6452	16.3885
492.6281	16.4077
492.6005	16.427
492.6005	16.4465
492.5966	16.4657
492.5821	16.485
492.5729	16.5045
492.5729	16.5235
492.5689	16.544
492.5558	16.5627
492.5466	16.5817
492.5413	16.6017
492.5282	16.6215
492.5058	16.6407
492.4874	16.6597
492.4782	16.6797
492.4651	16.6992
492.4611	16.719
492.4519	16.7377
492.4388	16.757
492.4335	16.777
492.4388	16.7967
492.4203	16.8162
492.4111	16.8357
492.4164	16.8552
492.4019	16.8745
492.3848	16.895
492.3612	16.9147
492.3572	16.9345
492.3349	16.954
492.3217	16.9737
492.3073	16.9937
492.3033	17.0137
492.2849	17.0332
492.2718	17.0525
492.2757	17.0715
492.2665	17.091
492.2625	17.1112
492.2494	17.1315
492.2625	17.152
492.231	17.1722
492.2126	17.1917
492.1955	17.2107
492.181	17.2307
492.1495	17.2507
492.1416	17.2712
492.1416	17.2915
492.1179	17.3107
492.1139	17.3307
492.1008	17.3505
492.1047	17.3705
492.0784	17.3907
492.0863	17.4107
492.0732	17.431
492.0548	17.4512
492.0232	17.4715
491.9969	17.4915
491.9838	17.5115
491.9654	17.5312
491.9601	17.5517
491.9522	17.5725
491.9601	17.5922
491.9469	17.6115
491.9377	17.632
491.9246	17.6527
491.9154	17.673
491.9022	17.6935
491.8707	17.7135
491.8523	17.733
491.8352	17.7535
491.8207	17.7745
491.7944	17.795
491.7799	17.815
491.7628	17.835
491.7484	17.8555
491.7313	17.8762
491.7221	17.8962
491.7221	17.917
491.7037	17.937
491.6945	17.9575
491.6721	17.9782
491.659	17.9985
491.6366	18.0185
491.6182	18.0387
491.5998	18.0587
491.5735	18.08
491.5551	18.101
491.5367	18.1217
491.5367	18.1427
491.5051	18.164
491.5196	18.1842
491.5012	18.2047
491.488	18.2252
491.4604	18.2462
491.442	18.2662
491.4025	18.287
491.3749	18.3075
491.3565	18.329
491.3249	18.3497
491.317	18.37
491.2986	18.39
491.2986	18.4115
491.271	18.4332
491.2671	18.4542
491.2579	18.4747
491.2395	18.4942
491.2171	18.5155
491.1948	18.5367
491.1671	18.5575
491.1316	18.5782
491.1185	18.5997
491.0909	18.6205
491.0646	18.6415
491.0554	18.6622
491.0422	18.683
491.0277	18.704
491.0014	18.724
491.0054	18.7452
490.9791	18.7665
490.9699	18.7877
490.9383	18.8095
490.916	18.8312
490.8884	18.8532
490.8607	18.874
490.8384	18.8942
490.816	18.915
490.8068	18.9365
490.7805	18.9575
490.7805	18.9792
490.7529	19.0007
490.7398	19.0215
490.7213	19.0422
490.7042	19.0635
490.6727	19.0855
490.6411	19.107
490.6135	19.1285
490.578	19.1495
490.5557	19.1707
490.5241	19.1917
490.5096	19.2137
490.4873	19.235
490.4649	19.2562
490.4465	19.2775
490.4426	19.299
490.4242	19.321
490.4018	19.3425
490.4018	19.3642
490.3663	19.3852
490.3255	19.4075
490.2808	19.4292
490.2624	19.4502
490.2124	19.4717
490.1901	19.493
490.1625	19.5147
490.1493	19.5362
490.1309	19.5585
490.1138	19.5797
490.0915	19.6012
490.073	19.6232
490.0415	19.6452
489.9968	19.667
489.9652	19.6887
489.9336	19.7107
489.8929	19.7315
489.8745	19.7532
489.8429	19.7752
489.8245	19.7975
489.789	19.8195
489.7706	19.841
489.7482	19.863
489.7259	19.8852
489.6904	19.907
489.672	19.9287
489.6443	19.9507
489.6049	19.9725
489.5733	19.995
489.5418	20.0167
489.5142	20.0392
489.4787	20.061
489.4379	20.0832
489.4195	20.1057
489.384	20.127
489.3616	20.1487
489.334	20.171
489.3209	20.194
489.2709	20.216
489.2446	20.2387
489.1986	20.2602
489.167	20.282
489.1183	20.3037
489.0947	20.3262
489.0684	20.3485
489.0276	20.3712
488.9921	20.3942
488.9684	20.4162
488.9382	20.4377
488.8974	20.459
488.8882	20.4812
488.8514	20.5045
488.8159	20.5277
488.7804	20.5507
488.7436	20.5737
488.6896	20.5965
488.6397	20.6177
488.6173	20.6395
488.5634	20.6615
488.5226	20.685
488.4819	20.708
488.4687	20.7302
488.4109	20.7525
488.3885	20.7742
488.3517	20.7975
488.3254	20.8202
488.2794	20.8432
488.2439	20.8655
488.2031	20.8882
488.1584	20.9107
488.1137	20.9337
488.0637	20.9562
488.019	20.9782
487.969	21.001
487.9282	21.0242
487.8927	21.0472
487.8559	21.0697
487.8244	21.0922
487.7836	21.1152
487.7481	21.1377
487.6889	21.1612
487.6218	21.1842
487.564	21.2075
487.514	21.23
487.4732	21.252
487.4193	21.274
487.3746	21.2975
487.3339	21.3202
487.3023	21.344
487.2339	21.3665
487.1984	21.3897
487.1669	21.4125
487.1077	21.4352
487.0498	21.4585
486.9959	21.4812
486.9328	21.5047
486.8697	21.5282
486.8249	21.5515
486.7618	21.5742
486.7158	21.5975
486.6619	21.6207
486.608	21.6435
486.5541	21.6665
486.4909	21.6897
486.4331	21.713
486.3647	21.7362
486.3239	21.76
486.2437	21.7835
486.1898	21.8062
486.1175	21.829
486.0636	21.8525
485.982	21.8762
485.9281	21.8997
485.8558	21.9232
485.8058	21.9455
485.7427	21.9697
485.6717	21.9922
485.6125	22.0147
485.5362	22.0385
485.46	22.0642
485.3784	22.0867
485.31	22.109
485.2206	22.1325
485.1483	22.1555
485.076	22.179
484.9958	22.2027
484.9234	22.227
484.8419	22.25
484.784	22.2725
484.7025	22.295
484.621	22.3192
484.5316	22.344
484.4592	22.3675
484.3645	22.3912
484.2659	22.415
484.1844	22.4387
484.0937	22.4622
483.999	22.4855
483.8964	22.5085
483.8109	22.5325
483.711	22.5562
483.6163	22.58
483.5124	22.604
483.423	22.6275
483.3244	22.6512
483.2205	22.6745
483.1166	22.699
483.0127	22.723
482.8996	22.7467
482.7786	22.7702
482.6747	22.794
482.563	22.8177
482.4499	22.8412
482.3328	22.8655
482.229	22.8892
482.1159	22.9132
481.9896	22.9377
481.8726	22.9622
481.7516	22.9897
481.6162	23.0167
481.4715	23.0447
481.3374	23.0687
481.1927	23.088
481.0441	23.1042
480.9087	23.1227
480.7601	23.1447
480.6207	23.1732
480.476	23.2017
480.3459	23.2302
480.188	23.257
480.0526	23.2807
479.904	23.302
479.7515	23.3235
479.5792	23.3462
479.4214	23.3702
479.2465	23.3947
479.0703	23.4195
478.9033	23.444
478.7323	23.4677
478.5522	23.4912
478.3812	23.5155
478.2103	23.5392
478.0248	23.5635
477.8407	23.588
477.6606	23.6122
477.462	23.6365
477.2634	23.6617
477.057	23.6855
476.8492	23.709
476.6244	23.7327
476.4126	23.7562
476.2009	23.7812
475.9747	23.8067
475.7722	23.8307
475.5658	23.8537
475.358	23.8777
475.1279	23.902
474.9214	23.927
474.6729	23.9515
474.448	23.976
474.2008	24.0005
473.9614	24.025
473.6998	24.05
473.4525	24.073
473.204	24.0962
472.9384	24.1205
472.6688	24.1452
472.4163	24.1695
472.1638	24.1942
471.8798	24.2192
471.6233	24.2432
471.3485	24.2672
471.0605	24.2915
470.7765	24.3167
470.4872	24.3405
470.186	24.365
469.8888	24.3885
469.614	24.4137
469.2984	24.438
468.9828	24.462
468.6803	24.4875
468.3831	24.5115
468.0452	24.5352
467.7348	24.5597
467.4324	24.5855
467.0957	24.6115
466.7617	24.6357
466.4198	24.6585
466.0674	24.6832
465.7123	24.709
465.3691	24.733
465.0049	24.757
464.6537	24.781
464.3013	24.806
463.9371	24.831
463.5715	24.855
463.198	24.8785
462.8469	24.9035
462.4406	24.931
462.0487	24.9555
461.6568	24.9785
461.2557	25.003
460.8284	25.0287
460.4312	25.0542
460.0209	25.0787
459.5843	25.102
459.1701	25.127
458.7375	25.1522
458.314	25.1767
457.8722	25.2002
457.4396	25.225
456.9938	25.2502
456.5427	25.2752
456.0838	25.2992
455.6012	25.323
455.1291	25.3487
454.6372	25.3747
454.1638	25.4
453.6694	25.4247
453.1868	25.4482
452.6871	25.473
452.1953	25.498
451.6771	25.5227
451.1551	25.5475
450.6409	25.573
450.0965	25.5985
449.5547	25.6232
448.9919	25.647
448.4383	25.6722
447.8662	25.6975
447.3073	25.7222
446.7261	25.748
446.1317	25.7732
445.5505	25.798
444.9416	25.8227
444.338	25.8475
443.716	25.872
443.1085	25.8975
442.4733	25.9225
441.8369	25.9475
441.1754	25.973
440.5179	25.9985
439.842	26.0242
439.1384	26.0495
438.4494	26.0742
437.7511	26.099
437.0305	26.1237
436.3138	26.149
435.6155	26.1752
434.8673	26.2007
434.119	26.2257
433.3668	26.251
432.5883	26.2765
431.7862	26.302
430.984	26.3267
430.1634	26.353
429.335	26.3787
428.5105	26.403
427.6636	26.4277
426.7983	26.4537
425.9238	26.4807
425.0415	26.5055
424.1354	26.5305
423.1978	26.5552
422.2707	26.5812
421.3147	26.6067
420.3324	26.6332
419.333	26.6592
418.3322	26.6852
417.2921	26.7112
416.2558	26.7365
415.192	26.7617
414.0926	26.788
412.9841	26.815
411.8715	26.8412
410.7222	26.8677
409.5374	26.8927
408.3578	26.9187
407.1362	26.9447
405.8751	26.9707
404.5863	26.9972
403.2845	27.0237
401.9366	27.051
400.5677	27.078
399.1843	27.104
397.7561	27.1295
396.2965	27.1562
394.8144	27.1835
393.2956	27.2097
391.7228	27.2362
390.1277	27.2637
388.4879	27.2915
386.7942	27.3187
385.0465	27.3457
383.2568	27.3727
381.4144	27.4002
379.5129	27.4275
377.5719	27.4557
375.5757	27.483
373.5164	27.5105
371.394	27.5382
369.2097	27.5667
366.9255	27.5955
364.569	27.6235
362.127	27.6525
359.5588	27.6812
356.8828	27.7102
354.0883	27.7397
335.8148	27.7702
288.0034	27.7997
241.1598	27.8347

