?-tech [MPa]	?-technisch [%]
378.5306	0.297
379.1894	0.2995
379.8246	0.3022
380.4505	0.3042
381.0857	0.3065
381.7024	0.3087
382.2981	0.3117
382.8925	0.3152
383.4869	0.3172
384.055	0.3202
384.6231	0.3225
385.1806	0.3242
385.7224	0.3275
386.2484	0.331
386.7718	0.333
387.2768	0.3352
387.7765	0.3387
388.2722	0.3417
388.7496	0.344
389.2177	0.347
389.678	0.3497
390.1277	0.352
390.5696	0.3552
391.0022	0.3585
391.4164	0.361
391.8307	0.3642
392.237	0.3675
392.6289	0.3697
393.0247	0.3732
393.4218	0.376
393.7953	0.3787
394.1701	0.3822
394.5251	0.385
394.8723	0.3882
395.2142	0.392
395.5443	0.395
395.873	0.398
396.1965	0.4007
396.5121	0.4037
396.8014	0.4075
397.0934	0.411
397.3682	0.4142
397.626	0.415
397.8916	0.4195
398.148	0.4242
398.3781	0.4265
398.6254	0.4302
398.8647	0.4332
399.0764	0.4362
399.2829	0.44
399.513	0.4435
399.6892	0.4477
399.8733	0.4507
400.0535	0.455
400.2244	0.4577
400.3822	0.4617
400.5269	0.4657
400.6755	0.469
400.8017	0.4722
400.928	0.4757
401.0358	0.48
401.1489	0.4837
401.2475	0.4877
401.3553	0.4917
401.4408	0.495
401.5224	0.4992
401.5986	0.5032
401.667	0.5062
401.7078	0.51
401.7617	0.514
401.7972	0.5185
401.8288	0.523
401.8511	0.5262
401.8827	0.53
401.8919	0.5342
401.9103	0.539
401.9142	0.5432
401.9195	0.546
401.905	0.5495
401.905	0.5537
401.9142	0.5585
401.9326	0.5625
401.9418	0.5667
401.9642	0.572
401.9826	0.5765
401.9866	0.5802
401.9958	0.5857
402.0142	0.5907
402.0273	0.5942
402.0273	0.599
402.0405	0.6045
402.0457	0.609
402.0405	0.6145
402.0405	0.6195
402.0365	0.6242
402.0181	0.6295
402.0181	0.6345
402.0142	0.6405
402.0142	0.646
402.0273	0.651
402.0365	0.656
402.0273	0.6617
402.0273	0.6672
402.0273	0.6727
402.0181	0.6782
402.0221	0.6832
402.0273	0.6892
402.0313	0.695
402.0313	0.7007
402.0405	0.707
402.0457	0.7132
402.0497	0.7192
402.0589	0.7247
402.072	0.7302
402.0852	0.736
402.0944	0.742
402.1128	0.7477
402.122	0.754
402.1312	0.7607
402.1444	0.767
402.1707	0.7722
402.1943	0.7782
402.2075	0.7842
402.2298	0.7902
402.2574	0.7965
402.2745	0.8032
402.3114	0.8095
402.3469	0.816
402.3837	0.8225
402.4231	0.8287
402.4547	0.8355
402.4915	0.8422
402.5323	0.8482
402.5717	0.854
402.5994	0.86
402.6401	0.8675
402.6625	0.8742
402.7032	0.8807
402.7348	0.888
402.7756	0.8947
402.815	0.9007
402.865	0.9067
402.9018	0.9135
402.9465	0.9202
402.9952	0.9272
403.0451	0.9342
403.0951	0.9412
403.149	0.947
403.199	0.9537
403.2569	0.9605
403.3252	0.9667
403.3884	0.9737
403.4594	0.9805
403.537	0.988
403.5909	0.9942
403.6487	1
403.7263	1.0065
403.7934	1.0127
403.8697	1.0185
403.9551	1.0247
404.0459	1.032
404.1221	1.039
404.2168	1.0455
404.3023	1.0512
404.397	1.057
404.4877	1.0645
404.5903	1.0707
404.685	1.0765
404.7757	1.0827
404.8743	1.0887
404.9651	1.095
405.0598	1.1015
405.1544	1.108
405.2623	1.1152
405.3701	1.121
405.4924	1.1262
405.6042	1.1322
405.7173	1.1387
405.8435	1.1455
405.9697	1.1512
406.0999	1.1565
406.2354	1.1637
406.3708	1.17
406.5102	1.1755
406.6457	1.1817
406.7759	1.1882
406.9205	1.1942
407.0691	1.1997
407.2177	1.2062
407.3663	1.213
407.528	1.2187
407.6911	1.2247
407.8529	1.2315
408.0054	1.2377
408.1816	1.2435
408.3434	1.25
408.5064	1.2567
408.6721	1.264
408.8391	1.2702
409.0061	1.2765
409.1771	1.2822
409.3309	1.2897
409.5019	1.2962
409.6768	1.3017
409.8398	1.3087
410.0108	1.316
410.1949	1.3227
410.3803	1.3292
410.5644	1.3362
410.7538	1.3435
410.93	1.3505
411.1102	1.3572
411.2903	1.3642
411.4521	1.371
411.6243	1.3777
411.8084	1.3845
411.9938	1.392
412.1819	1.3997
412.3765	1.407
412.5751	1.4137
412.7776	1.4212
412.9617	1.4287
413.1419	1.4357
413.3404	1.4432
413.5298	1.4507
413.7139	1.4585
413.9032	1.467
414.0979	1.4737
414.2859	1.481
414.4661	1.489
414.6554	1.4967
414.854	1.5047
415.0473	1.513
415.2419	1.5202
415.4405	1.5277
415.6246	1.535
415.8179	1.543
416.0125	1.551
416.2019	1.5587
416.4084	1.5675
416.6201	1.5752
416.8226	1.5835
417.0343	1.5922
417.2513	1.5997
417.463	1.6075
417.6563	1.6162
417.8549	1.6255
418.0482	1.634
418.2599	1.6427
418.4493	1.6505
418.6386	1.6587
418.8556	1.6672
419.0437	1.6757
419.2291	1.685
419.4316	1.694
419.6617	1.7015
419.8511	1.7097
420.0496	1.7187
420.2653	1.728
420.4494	1.7365
420.6388	1.7457
420.8597	1.7552
421.0898	1.7632
421.2884	1.772
421.5133	1.7812
421.7289	1.7912
421.9183	1.8002
422.1169	1.8082
422.3194	1.8177
422.5271	1.827
422.7257	1.8355
422.9322	1.8447
423.1399	1.8542
423.3293	1.8645
423.5226	1.873
423.7251	1.882
423.9368	1.8925
424.1393	1.9017
424.3511	1.9112
424.5588	1.9212
424.7758	1.931
424.9731	1.94
425.19	1.9482
425.3965	1.9575
425.6082	1.9677
425.816	1.9772
426.0277	1.987
426.2263	1.9967
426.438	2.0067
426.6537	2.0175
426.8483	2.0277
427.06	2.0375
427.2625	2.0475
427.4611	2.0577
427.6491	2.0675
427.8701	2.0757
428.0686	2.085
428.2711	2.096
428.4881	2.1072
428.7038	2.1185
428.8931	2.1282
429.1049	2.1382
429.3166	2.1472
429.5243	2.1565
429.7308	2.1675
429.9517	2.179
430.1411	2.1897
430.3489	2.1995
430.5553	2.209
430.7499	2.2195
430.9472	2.2295
431.1681	2.2407
431.3667	2.253
431.5653	2.2632
431.7954	2.2725
431.9887	2.2825
432.1781	2.2942
432.3845	2.3045
432.5923	2.315
432.7685	2.3267
432.9881	2.3375
433.1998	2.3475
433.4076	2.3587
433.6193	2.3705
433.831	2.3797
434.0335	2.3915
434.2413	2.4032
434.4399	2.4137
434.6332	2.4242
434.841	2.4357
435.0251	2.4477
435.2328	2.458
435.4446	2.4687
435.6339	2.48
435.822	2.4915
436.0429	2.5025
436.2375	2.5142
436.4348	2.5257
436.6517	2.5377
436.8635	2.5482
437.066	2.5587
437.2645	2.5705
437.4671	2.5817
437.6827	2.5932
437.8773	2.605
438.0667	2.6172
438.2784	2.6287
438.4586	2.6402
438.6387	2.6512
438.8452	2.6627
439.0398	2.675
439.2239	2.6867
439.4264	2.6985
439.6342	2.7112
439.8367	2.723
440.0445	2.7337
440.2562	2.746
440.4679	2.7577
440.652	2.7697
440.8598	2.782
441.0439	2.7932
441.2293	2.8047
441.4279	2.8185
441.6251	2.8305
441.8106	2.842
442.0223	2.8537
442.2116	2.8662
442.3918	2.8787
442.5983	2.8907
442.7876	2.9022
442.9862	2.9145
443.194	2.9277
443.4096	2.9412
443.595	2.9532
443.7883	2.966
443.9777	2.979
444.1579	2.991
444.342	3.003
444.5274	3.0162
444.7168	3.0282
444.9193	3.041
445.1178	3.0537
445.298	3.0665
445.5097	3.0787
445.707	3.0917
445.8963	3.1047
446.0909	3.118
446.2882	3.1305
446.4776	3.143
446.6669	3.1555
446.8655	3.1692
447.0456	3.1822
447.2442	3.1955
447.4336	3.208
447.6137	3.2207
447.7886	3.234
447.9833	3.2477
448.1634	3.26
448.3436	3.273
448.55	3.2867
448.7447	3.3005
448.938	3.314
449.1365	3.327
449.339	3.34
449.5153	3.3532
449.6902	3.3675
449.8756	3.381
450.0465	3.3947
450.2083	3.408
450.3937	3.421
450.5778	3.4342
450.7579	3.449
450.9434	3.4635
451.1327	3.4772
451.33	3.4912
451.5101	3.504
451.7048	3.5175
451.8889	3.5315
452.0835	3.5452
452.2544	3.5587
452.4293	3.5737
452.6016	3.5877
452.7765	3.6005
452.9435	3.615
453.1276	3.6292
453.2999	3.6432
453.48	3.658
453.6602	3.6722
